date,open,high,low,close,volume,ema,atr,rsi,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
1621353600,1.22212,1.22227,1.22115,1.22119,1959,1.2122788946147203,0.0012203166727602016,68.32347858810911,0.001913634671370401,0.000363013193421033,0.001550621477949368
1621357200,1.2212,1.22235,1.22052,1.22183,1853,1.2123739304892007,0.0013016077830588413,70.40340860249374,0.001928129962585956,0.00030200678770927027,0.0016261231748766858
1621360800,1.22182,1.22196,1.21995,1.22018,1285,1.2124516028226415,0.0013960600786509752,59.54755819628463,0.0017858897495774961,0.00012781325976064816,0.001658076489816848
1621364400,1.22019,1.22168,1.2201,1.22166,916,1.2125432286652023,0.0014205854014975301,64.79173413461957,0.0017721586453731675,9.126572444505547e-05,0.001680892920928112
1621368000,1.22167,1.22239,1.2215,1.22233,487,1.2126406094745037,0.001349840681297867,66.88468563498533,0.0017946524110776796,9.100759211965403e-05,0.0017036448189580256
1621371600,1.22233,1.22298,1.22222,1.22292,642,1.2127428919672947,0.0012711952571248012,68.65189388420951,0.0018388893795238115,0.00010819564845262878,0.0017306937310711827
1621375200,1.22291,1.223,1.22263,1.22264,487,1.2128413706541874,0.0011510358895081587,66.8291915146314,0.0018302557863743019,7.964964424249507e-05,0.0017506061421318068
1621378800,1.22263,1.22275,1.2222,1.22227,423,1.2129351878616084,0.0010708977709070774,64.39613922610884,0.0017731182899023423,1.8009718216428425e-05,0.001755108571685914
1621382400,1.22225,1.22246,1.22209,1.22244,125,1.2130297631067666,0.000977444734786161,65.0261679301988,0.0017217072224113839,-2.672107941962404e-05,0.001748428301831008
1621386000,1.22245,1.22251,1.22218,1.22242,181,1.2131231982997341,0.0008911187701479984,64.88070759714864,0.0016602118593069815,-7.05731540192212e-05,0.0017307850133262026
1621389600,1.22241,1.22253,1.22216,1.22223,276,1.2132138132420254,0.0008216362674615961,63.42908685821054,0.001577955243093232,-0.0001222638161863768,0.0017002190592796088
1621393200,1.22223,1.22326,1.22213,1.22266,859,1.213307805150065,0.00086275143180006,65.32018429265291,0.0015298287746283723,-0.0001363122277209894,0.0016661410023493617
1621396800,1.22265,1.22273,1.22199,1.22219,1031,1.213396185198323,0.0008463845742267434,61.572370047632205,0.0014371960283996454,-0.00018315597915977296,0.0016203520075594184
1621400400,1.22218,1.22246,1.22173,1.22223,808,1.2134840838530663,0.0008308666309965268,61.773391884597224,0.0013514330958452891,-0.00021513512937130358,0.0015665682252165927
1621404000,1.22222,1.22307,1.22212,1.22297,448,1.213578471078409,0.0008467510801969907,65.38138528521534,0.0013278703071393227,-0.00019095833446181607,0.0015188286416011388
1621407600,1.22296,1.22349,1.22296,1.22313,479,1.2136735111671813,0.0008045176028373813,66.12584531077466,0.0013070405404080887,-0.00016943048095444026,0.001476471021362529
1621411200,1.22313,1.22422,1.22307,1.22395,565,1.2137757647874083,0.0008505819224590617,69.7197733144575,0.0013412389791180868,-0.00010818563379555381,0.0014494246129136406
1621414800,1.22394,1.22448,1.22354,1.22381,1332,1.213875607923852,0.0008625043327978455,68.38574407199135,0.0013415797618212544,-8.6275880873909e-05,0.0014278556426951634
1621418400,1.22382,1.22448,1.22163,1.22212,2107,1.2139576416758535,0.0011275037550914687,54.76361868849921,0.0011917432837473818,-0.00018888988715822538,0.0013806331709056072
1621422000,1.22211,1.22261,1.22047,1.22165,1771,1.2140341825547007,0.0012625032544126102,51.68042230917017,0.001023276034159526,-0.0002858857093968651,0.001309161743556391
1621425600,1.22164,1.22202,1.22079,1.22108,1518,1.2141042901909724,0.0012581694871576041,48.14059417392503,0.0008341546729822014,-0.0003800056564593518,0.0012141603294415532
1621429200,1.22107,1.22157,1.22004,1.22068,1271,1.214169720139321,0.0012944135555365945,45.771298947452074,0.0006445677982938047,-0.0004556740249181989,0.0011002418232120036
1621432800,1.22068,1.22087,1.21892,1.22067,1807,1.2142343995409197,0.0013818250814650347,45.71072992261941,0.00048788785033782034,-0.0004898831782993466,0.000977771028637167
1621436400,1.22068,1.22153,1.22026,1.22078,1795,1.2142995298937465,0.001366915070603044,46.548632513204666,0.00036834785863049113,-0.00048753853600534073,0.0008558863946358319
1621440000,1.22077,1.22385,1.22039,1.22284,3025,1.2143845096957988,0.0016459930611893072,59.23698083108367,0.0004348239579070601,-0.00033684994938301747,0.0007716739072900775
1621443600,1.22285,1.22308,1.22119,1.2216,3080,1.214456305619224,0.0016785273196973924,51.337159717322024,0.00038303373417303277,-0.0003109121384936358,0.0006939458726666686
1621447200,1.22159,1.22227,1.22133,1.22156,1441,1.214526989145401,0.0015800570104043989,51.10041963313067,0.000334901408066024,-0.0002872355716805157,0.0006221369797465397
